date,spx_tr,tsy_3m,margin_rate,cpi
1927-12-30,0.500593368,0.03,0.034,17.3000
1928-01-03,0.505263845,0.03,0.034,17.3000
1928-01-04,0.504125837,0.03,0.034,17.3000
1928-01-05,0.499289413,0.03,0.034,17.3000
1928-01-06,0.50241888,0.03,0.034,17.3000
1928-01-09,0.497866958,0.03,0.034,17.3000
1928-01-10,0.494168541,0.03,0.034,17.3000
1928-01-11,0.493599537,0.03,0.034,17.3000
1928-01-12,0.497013452,0.03,0.034,17.3000
1928-01-13,0.500142919,0.03,0.034,17.3000
1928-01-16,0.49189258,0.03,0.034,17.3000
1928-01-17,0.492177028,0.03,0.034,17.3000
1928-01-18,0.491039074,0.03,0.034,17.3000
1928-01-19,0.494452989,0.03,0.034,17.3000
1928-01-20,0.497297954,0.03,0.034,17.3000
1928-01-23,0.501849876,0.03,0.034,17.3000
1928-01-24,0.503841335,0.03,0.034,17.3000
1928-01-25,0.498435962,0.03,0.034,17.3000
1928-01-26,0.501565374,0.03,0.034,17.3000
1928-01-27,0.503272386,0.03,0.034,17.3000
1928-01-30,0.497582456,0.03,0.034,17.3000
1928-01-31,0.499858417,0.03,0.034,17.3000
1928-02-01,0.500740144,0.03,0.034,17.1000
1928-02-02,0.503596576,0.03,0.034,17.1000
1928-02-03,0.497026695,0.03,0.034,17.1000
1928-02-06,0.498454966,0.03,0.034,17.1000
1928-02-07,0.498169312,0.03,0.034,17.1000
1928-02-08,0.499597528,0.03,0.034,17.1000
1928-02-09,0.501311398,0.03,0.034,17.1000
1928-02-10,0.501025798,0.03,0.034,17.1000
1928-02-14,0.498169312,0.03,0.034,17.1000
1928-02-15,0.497026695,0.03,0.034,17.1000
1928-02-16,0.49559848,0.03,0.034,17.1000
1928-02-17,0.486743421,0.03,0.034,17.1000
1928-02-20,0.484172589,0.03,0.034,17.1000
1928-02-21,0.488742945,0.03,0.034,17.1000
1928-02-23,0.489314199,0.03,0.034,17.1000
1928-02-24,0.490742469,0.03,0.034,17.1000
1928-02-27,0.488742945,0.03,0.034,17.1000
1928-02-28,0.490171161,0.03,0.034,17.1000
1928-02-29,0.493027647,0.03,0.034,17.1000
1928-03-01,0.496204668,0.03,0.034,17.1000
1928-03-02,0.496204668,0.03,0.034,17.1000
1928-03-05,0.503948916,0.03,0.034,17.1000
1928-03-06,0.506817162,0.03,0.034,17.1000
1928-03-07,0.504235746,0.03,0.034,17.1000
1928-03-08,0.505956672,0.03,0.034,17.1000
1928-03-09,0.51427458,0.03,0.034,17.1000
1928-03-12,0.516282336,0.03,0.034,17.1000
1928-03-13,0.51398775,0.03,0.034,17.1000
1928-03-14,0.51427458,0.03,0.034,17.1000
1928-03-15,0.518290092,0.03,0.034,17.1000
1928-03-16,0.523739754,0.03,0.034,17.1000
1928-03-19,0.526608,0.03,0.034,17.1000
1928-03-20,0.529476191,0.03,0.034,17.1000
1928-03-21,0.534925854,0.03,0.034,17.1000
1928-03-22,0.533491758,0.03,0.034,17.1000
1928-03-23,0.53865459,0.03,0.034,17.1000
1928-03-26,0.546398783,0.03,0.034,17.1000
1928-03-27,0.543243762,0.03,0.034,17.1000
1928-03-28,0.541809612,0.03,0.034,17.1000
1928-03-29,0.543530592,0.03,0.034,17.1000
1928-03-30,0.552995766,0.03,0.034,17.1000
1928-04-02,0.544384241,0.03,0.034,17.1000
1928-04-03,0.547550957,0.03,0.034,17.1000
1928-04-04,0.546687293,0.03,0.034,17.1000
1928-04-05,0.553596446,0.03,0.034,17.1000
1928-04-09,0.554747999,0.03,0.034,17.1000
